ClaimNumber,ExposureNumber,ExposureNumberBefore
030580982,0,1
030581154,2,3
030581228,0,1
030581302,2,3
030581328,3,4
030581984,1,2
030582092,4,5
030582240,0,1
030582520,0,1
030584892,2,3
030585340,1,2
030585846,3,4
030586415,0,1
030586599,2,3
030586942,2,3
030587125,0,1
030587376,3,4
030587476,1,2
030589231,0,1
030590232,0,1
030590267,3,4
030590419,2,3
030590522,2,3
030590628,0,1
030590696,0,1
030590965,3,4
030591859,0,1
030592491,0,1
030649742,2,3
030649781,1,2
030652894,0,1
030653645,1,2
030654081,2,3
030654334,0,1
030654335,0,1
030654367,0,1
030656384,3,4
030656917,2,3
030657024,0,1
030657138,3,4
030657412,2,3
030657857,2,3
030658004,3,4
030660691,0,1
030661140,0,1
030661145,0,1
030661221,0,1
030661350,0,1
030661596,0,1
030661750,0,1
030662620,0,1
030664115,1,2
030664701,0,1
030668994,0,1
030669045,2,3
030670733,0,1
030670795,2,3
030671459,1,2
030671747,0,1
030672877,3,4
030673375,3,4
030677170,1,2
030677196,2,3
030678297,2,3
030679304,0,1
030679531,0,1
030680877,2,3
030681183,0,1
030681517,2,3
030682391,0,1
030682539,0,1
030682676,0,1
030685625,2,3
030685900,0,1
030685924,2,3
030686324,0,1
030686436,2,3
030686892,2,3
030687410,2,3
030688180,0,1
030690516,3,4
030690953,0,1
030691909,2,3
030693549,3,4
030693812,0,1
030693851,0,1
030693873,0,1
030694118,0,1
030694667,0,1
030694871,0,1
030695204,2,3
030695358,0,1
030697390,4,5
030697858,0,1
030698132,4,5
030698244,1,2
030698432,1,2
030698502,0,1
030698858,0,1
030699009,2,3
030699090,2,3
030699107,2,3
030699181,0,1
030699278,1,2
030699303,0,1
030700022,0,1
030700056,1,2
030700122,0,1
030700524,0,1
030700706,3,4
030700730,0,1
030700868,3,4
030701971,0,1
030703785,2,3
030704284,2,3
030704582,1,2
030705125,0,1
030705406,1,2
030706267,0,1
030706335,2,3
030706809,2,3
030706948,1,2
030709920,2,3
030710130,0,1
030711002,0,1
030711034,1,2
030712470,0,1
030712521,2,3
030713603,3,4
030714983,0,1
030715154,0,1
030715715,3,4
030716096,0,1
030719305,0,1
030720263,1,2
030720912,2,3
030721145,2,3
030723515,3,4
030723646,0,1
030724499,0,1
030724713,4,5
030725327,0,1
030725946,0,1
030726218,2,3
030726501,2,3
030729376,2,3
030730281,0,1
030730816,2,3
030730850,2,3
030733491,0,1
030734451,0,1
030734499,0,1
030735404,2,3
030735910,2,3
030737499,3,4
030737594,0,1
030738182,2,3
030738233,4,5
030738489,2,3
030739013,2,3
030739055,2,3
030742360,2,3
030742631,1,2
030742663,3,4
030743556,0,1
030743653,0,1
030743726,0,1
030745895,1,2
030746531,0,1
030746551,2,3
030749985,0,1
030750178,3,4
030750397,0,1
030751072,0,1
030751536,0,1
030751758,0,1
030751983,0,1
030752012,3,4
030752019,1,2
030753332,2,3
030753619,2,3
030753755,0,1
030754153,0,1
030754348,0,1
030754394,2,3
030754539,1,2
030755012,1,2
030758187,0,1
030758200,0,1
030758613,2,3
030758680,0,1
030758779,0,1
030758785,0,1
030758933,3,4
030759312,0,1
030759976,0,1
030761950,0,1
030762557,0,1
030765821,1,2
030765882,1,2
030765894,2,3
030769646,2,3
030769688,0,1
030772223,0,1
030772955,0,1
030776630,3,4
030777571,2,3
030778208,2,3
030779331,2,3
030780026,0,1
030780201,2,3
030780722,0,1
030780780,0,1
030780787,0,1
030780890,2,3
030781001,0,1
030781054,0,1
030781341,0,1
030781359,0,1
030782653,0,1
030782898,0,1
030783332,0,1
030783345,0,1
030783855,2,3
030784158,0,1
030786111,2,3
030786434,2,3
030786629,1,2
030786900,1,2
030786948,0,1
030786962,4,5
030787174,3,4
030787839,0,1
030787908,0,1
030789255,4,5
030789327,0,1
030789844,0,1
030790061,2,3
030790402,0,1
030790729,2,3
030791860,2,3
030792406,2,3
030792993,3,4
030793057,0,1
030793161,2,3
030793426,0,1
030795176,0,1
030795375,0,1
030795381,0,1
030796009,1,2
030796595,0,1
030798036,0,1
030798297,3,4
030798402,0,1
030799925,1,2
030800036,0,1
030801175,0,1
030801216,0,1
030801255,0,1
030801910,0,1
030802127,3,4
030802268,0,1
030803061,0,1
030806886,2,3
030807722,3,4
030808016,2,3
030808107,0,1
030808122,3,4
030808249,0,1
030808854,1,2
030810299,3,4
030810436,2,3
030811143,0,1
030813817,2,3
030814194,3,4
030814594,0,1
030815770,0,1
030815808,0,1
030815982,0,1
030816856,0,1
030816881,2,3
030816890,2,3
030816946,0,1
030817262,0,1
030817337,0,1
030817519,0,1
030817686,2,3
030817741,0,1
030817811,0,1
030818074,0,1
030818172,1,2
030818405,2,3
030818674,0,1
030818683,0,1
030822088,1,2
030822393,2,3
030822538,0,1
030822905,0,1
030823372,2,3
030823633,2,3
030824181,0,1
030825268,1,2
030825469,0,1
030826251,0,1
030826705,2,3
030829333,0,1
030829627,0,1
030829730,4,5
030829827,3,4
030830285,0,1
030830397,0,1
030830484,1,2
030830517,0,1
030830941,2,3
030831190,3,4
030831644,0,1
030832201,0,1
030833745,2,3
030833803,1,2
030836183,0,1
030837268,0,1
030837435,0,1
030838402,3,4
030838767,0,1
030838991,0,1
030839097,0,1
030839287,0,1
030839316,0,1
030839991,3,4
030839995,2,3
030840223,3,4
030844038,0,1
030844182,1,2
030844387,0,1
030845113,0,1
030845631,2,3
030845882,1,2
030846333,2,3
030846386,0,1
030846518,0,1
030846582,3,4
030846692,0,1
030847078,0,1
030847622,0,1
030847693,1,2
030847704,1,2
030851163,2,3
030851363,3,4
030851831,2,3
030853233,2,3
030854631,0,1
030854844,2,3
030857904,0,1
030858632,0,1
030859724,2,3
030860528,0,1
030860577,3,4
030861251,0,1
030862120,0,1
030862126,0,1
030862296,1,2
030863240,1,2
030866048,0,1
030866053,0,1
030866223,1,2
030866313,2,3
030866687,0,1
030866907,0,1
030867080,0,1
030867378,3,4
030867410,0,1
030867843,0,1
030869437,0,1
030869506,3,4
030869991,3,4
030870347,0,1
030873487,0,1
030873556,2,3
030873699,0,1
030874176,0,1
030874381,3,4
030874550,0,1
030874662,2,3
030874893,0,1
030875054,2,3
030875133,2,3
030875292,2,3
030875490,1,2
030875502,0,1
030875632,2,3
030875817,0,1
030876520,0,1
030876919,1,2
030876943,0,1
030876998,0,1
030877251,2,3
030880534,0,1
030880929,0,1
030881055,2,3
030881093,0,1
030881249,0,1
030881310,0,1
030881593,2,3
030882182,1,2
030882749,0,1
030882805,1,2
030883003,3,4
030883157,0,1
030886730,2,3
030887089,2,3
030888821,0,1
030889014,1,2
030889101,0,1
030889917,0,1
030889968,0,1
030890045,0,1
030890129,2,3
030890157,1,2
030890621,2,3
030890969,1,2
030894544,0,1
030894772,2,3
030903419,1,2
030904229,0,1
030905382,0,1
030905698,0,1
030906139,0,1
030906298,0,1
030906828,0,1
030907184,3,4
030908427,0,1
030908524,0,1
030909155,1,2
030911909,1,2
030912445,2,3
030912869,0,1
030913160,0,1
030913186,2,3
030913297,0,1
030916354,0,1
030916876,0,1
030917039,0,1
030917352,2,3
030917664,0,1
030917767,0,1
030917921,1,2
030918164,2,3
030918202,0,1
030918374,0,1
030918497,1,2
030918523,2,3
030919938,2,3
030920206,0,1
030920650,2,3
030920889,0,1
030921557,1,2
030921623,0,1
030921704,0,1
030922323,0,1
030922828,0,1
030923013,1,2
030923946,0,1
030924109,1,2
030925788,1,2
030925873,2,3
030926757,1,2
030927527,0,1
030927840,0,1
030928333,2,3
030928354,0,1
030929105,0,1
030929319,2,3
030929429,2,3
030930260,1,2
030930271,0,1
030930290,2,3
030931563,2,3
030931846,0,1
030932139,0,1
030932645,0,1
030932975,1,2
030933030,0,1
030933311,0,1
030933669,3,4
030934091,0,1
030934560,0,1
030934640,2,3
030934767,0,1
030934890,2,3
030935914,0,1
030936037,3,4
030937738,2,3
030938184,0,1
030940173,1,2
030944337,3,4
030946461,0,1
030946472,1,2
030948083,0,1
030948254,1,2
030948703,2,3
030948979,0,1
030950785,0,1
030950833,0,1
030953196,0,1
030953509,0,1
030953788,0,1
030954288,0,1
030956960,1,2
030957447,0,1
030958937,1,2
030959363,0,1
030959760,0,1
030959764,0,1
030964659,3,4
030965478,0,1
030965685,0,1
030966616,0,1
030966747,0,1
030967457,0,1
030968440,2,3
030968531,1,2
030970614,0,1
030970775,0,1
030970779,1,2
030970804,0,1
030970833,0,1
030970881,5,6
030970960,0,1
